Unnamed: 0,query1,query2,class
117,лихтенштейн,где находится лихтенштейн,1
213,air datepicker default value,jquery datepicker default date,1
59,квадратные уравнения онлайн,площадь треугольника,1
51,минимальный наклон крыши для гибкой черепицы,расчет угла,1
156,приквкл,приквел звездных войн,1
88,джум,отслеживание посылки из китая,1
77,аренда квартир в симферополе,аренда квартир в симферополе без посредников,1
219,i know you love me,i know you love me justin bieber ,1
87,джум,Самые популярные товары из Китая,1
72,как дешево питаться,как приготовить блины,1
32,скачать картинки с днем рождения брату,как сделать слайд шоу из фотографий с музыкой,1
25,как блокировать рекламу в яндекс браузере,как блокировать рекламу в гугл хром,1
148,не убирается подчеркивание ссылок,как убрать подчеркивание ссылок в wordpress,1
114,картинки с днем рождения,факты о дне рождении,1
24,как быстро похудеть,мотивация,1
206,экспоцентр мультитурнире золотой тигр,мультитурнир золотой тигр 2018 екатеринбург экспо,1
96,игрушки из ткани своими руками выкройки мишки,плюшевый мишка,1
109,картинки с днем рождения,с днем рождения поздравления,1
190,фасадная клиенкерная,виды фасадов домов,1
200,цена масла гур,признаки утечки гур,1
80,вайлдберриз,вайлдберриз промокод,1
232,translate,лучшее приложение для перевода,1
223,i know you love me,Лучшие песни о любви,1
202,чернобыль 2 сезон,чернобыль зона отчуждения актеры,1
58,отравление от кураги,что делать при отравлении,1
333,самсунг галакси а8+ 2018 обзор,как осознать свою цель,0
329,https://www.ufanet.ru/ m3u8,аппендицит,0
404,еженощное пробуждение с,что такое метаболизм,0
486,электронный дневник,как поставить палатку,0
420,как выгодно купить как выгодно купить новый автомобиль в салоне в кредит в городе ижевск,как удалить мозоли на ногах в домашних условиях,0
499,погода в иркутске,как выбрать обои,0
288,найти иголку в одежде что значит,как изменить жизнь к лучшему,0
272,локомотивная 104 ульяновск,где заработать денег,0
497,солнечный берег чувашия новый год,жирная кожа лица что делать,0
321,чем полезна брюссельская капуста,что подарить парню,0
310,ту ту точка ру сапсан тверь санкт питербург,как полюбить свою работу,0
484,запрещённое порно,как убрать жир на грудных мышцах у мужчин,0
275,xvideo,как скрыть друга в вк,0
331,ребёнок в шесть лет не учит стихи,как выбрать орхидею,0
477,встраиваемая микроволновая печь,как поймать мышей в домашних условиях,0
379,чешется левый глаз к чему это,что такое сон,0
435,советск ленина 45,как завязывать галстук,0
254,курящая кура,как перестать смущаться и краснеть,0
326,брокколи рецепты приготовления,создать гугл аккаунт,0
434,эротика,приготовление шашлыка,0
315,свадьба с ограниченным бюджетом,блюдо из цветной капусты,0
407,как сесть на шпогат,секс во время месячных,0
461,минелла мартинцова прогноз,аккаунт гугл,0
403,yup перевод,ноут не видит проектор,0
248,Яндекс,как избавиться от гнид,0
